,날짜,BDI,WS
400,2012-02-09,684.2001769558851,44.28129615925597
401,2012-02-10,695.0,49.0
402,2012-02-11,704.010340186401,53.94814182201366
403,2012-02-12,711.2328645633888,57.48995500574016
404,2012-02-13,716.6670174481968,59.681433784648796
405,2012-02-14,720.363412950299,60.5225781587396
406,2012-02-15,722.6257357265406,60.01338812801255
407,2012-02-16,723.5045998863955,58.15386369246765
408,2012-02-17,723.0,55.0
409,2012-02-18,721.1119523569457,51.56524765352689
410,2012-02-19,717.8404406676412,49.19902814333615
411,2012-02-20,713.1854703619499,47.84534632153269
412,2012-02-21,707.6627408581707,47.50420218811651
413,2012-02-22,704.3664486660931,48.17559574308761
414,2012-02-23,703.8122932040156,49.859526986446
415,2012-02-24,706.0,52.5
416,2012-02-25,710.9303924698611,55.2989141646779
417,2012-02-26,718.6026471977839,57.122193352258
418,2012-02-27,729.0170386557068,58.02583348093196
419,2012-02-28,741.620582386365,58.00983455069978
420,2012-02-29,753.0953716461703,57.074196561561465
421,2012-03-01,762.8884219778572,55.21891951351701
422,2012-03-02,771.0,52.5
423,2012-03-03,777.4293058568774,49.72439315473581
424,2012-03-04,782.1771394042107,48.03503367205134
425,2012-03-05,785.2432340234259,47.375924958513025
426,2012-03-06,786.9196283912418,47.74706701412083
427,2012-03-07,788.9585545679713,49.14845983887478
428,2012-03-08,791.6520512303335,51.58010343277486
429,2012-03-09,795.0,55.0
430,2012-03-10,799.0027560119546,58.74982227569868
431,2012-03-11,803.6599641312141,61.919256220092976
432,2012-03-12,808.9717427361059,64.5502996290039
433,2012-03-13,814.9380918266301,66.64295250243148
434,2012-03-14,821.5590114027867,68.19721484037571
435,2012-03-15,828.8345014645756,69.2130866428366
436,2012-03-16,836.7645620119972,69.69056790981413
437,2012-03-17,844.9287246242496,69.62965864130832
438,2012-03-18,852.906520880531,69.03035883731917
439,2012-03-19,860.6979507808416,67.89266849784669
440,2012-03-20,868.3030143251816,66.21658762289083
441,2012-03-21,875.7217115135504,64.00211621245164
442,2012-03-22,882.9540423459486,61.24925426652909
443,2012-03-23,890.0,58.0
444,2012-03-24,896.8596049428324,54.90790364537813
445,2012-03-25,903.532836707318,52.878504724437946
446,2012-03-26,910.0197021158328,51.86980502230271
447,2012-03-27,916.2364551877596,51.88180453897239
448,2012-03-28,921.6806200393935,52.914503274446986
