,날짜,OIL_CL,OIL_DU,OIL_BRT
230,2007-11-21,97.29,86.44,94.84
231,2007-11-22,98.18375249467408,86.46339612591652,94.80258354999637
232,2007-11-23,98.18,87.27,95.76
233,2007-11-24,99.32361337803788,86.348477565662,94.3260998392842
234,2007-11-25,98.64678672823607,86.2838904575841,93.88196445980033
235,2007-11-26,97.7,87.25,95.32
236,2007-11-27,94.42,87.51,92.52
237,2007-11-28,90.62,87.24,89.81
238,2007-11-29,91.01,86.95,90.22
239,2007-11-30,88.71,86.94,88.26
240,2007-12-01,88.61306802490729,85.79657821780802,89.22456441927875
241,2007-12-02,88.32304904233703,85.6987279126272,88.75027817247543
242,2007-12-03,89.31,84.46,89.8
243,2007-12-04,88.32,84.65,89.53
244,2007-12-05,87.49,84.45,88.49
245,2007-12-06,90.23,84.47,90.18
246,2007-12-07,88.28,83.17,88.64
247,2007-12-08,86.36925451439555,85.10542890567517,89.62879068758252
248,2007-12-09,86.41120511368874,85.0471095042904,90.01627238737781
249,2007-12-10,87.86,84.56,88.04
250,2007-12-11,90.02,83.25,89.99
251,2007-12-12,94.39,87.52,94.02
252,2007-12-13,92.25,86.04,92.12
253,2007-12-14,91.27,85.96,91.69
254,2007-12-15,90.22555692845812,85.03416811006693,91.8290353496056
255,2007-12-16,89.88638181636775,85.08817371337719,91.79273685942347
256,2007-12-17,90.63,85.72,91.29
257,2007-12-18,90.49,85.63,90.12
258,2007-12-19,91.24,85.5,91.48
259,2007-12-20,91.06,85.23,90.88
260,2007-12-21,93.31,85.2,92.46
261,2007-12-22,93.10282055647941,85.51096298015942,91.70386698641714
262,2007-12-23,93.6836557557692,85.57247706661236,91.9703344572968
263,2007-12-24,94.13,85.2,92.7
264,2007-12-25,94.83920331803628,85.68647187912528,92.75828322765202
265,2007-12-26,95.97,85.17,93.94
266,2007-12-27,96.62,85.13,94.78
267,2007-12-28,96.0,85.67,93.88
268,2007-12-29,97.06847975340004,85.97445278810582,95.24287517183822
269,2007-12-30,97.46304630286559,86.30326321022228,95.77029217671772
270,2007-12-31,95.98,85.79,93.85
271,2008-01-01,97.90209250196067,87.52859904722322,96.41197454962467
272,2008-01-02,97.94657215159017,88.42512446210769,96.52623991765213
273,2008-01-03,99.18,92.04,97.6
274,2008-01-04,97.91,91.62,96.79
275,2008-01-05,97.37983730080649,91.22248069167877,96.04273274803035
276,2008-01-06,96.95753441732123,91.59139692948087,95.60612926692171
277,2008-01-07,96.41853590055725,91.63572649789643,95.03180857352906
278,2008-01-08,95.76284175051458,91.3554693969254,94.3197706678524
279,2008-01-09,95.67,89.36,94.37
280,2008-01-10,93.71,88.97,92.22
281,2008-01-11,92.69,88.63,91.07
282,2008-01-12,92.76259080354103,88.75034083021808,91.08432905148199
283,2008-01-13,92.13746003175913,88.21741323979154,90.45361340707802
284,2008-01-14,91.57107406802832,87.75140265354338,89.90515435687371
285,2008-01-15,91.06343291234862,87.35230907147363,89.43895190086903
286,2008-01-16,90.61453656471998,87.0201324935822,89.055006039064
287,2008-01-17,90.22438502514242,86.75487291986914,88.7533167714586
288,2008-01-18,90.57,87.87,89.23
289,2008-01-19,89.6203163701406,86.4251047849782,88.39670801884674
290,2008-01-20,89.40639925471632,86.36059622380027,88.34178853384027
